Instructions (29      , 38      ) at Addr [32392     ]  --> [i64_store             , i64_store             ] | 0 0
Instructions (65      , 58      ) at Addr [32520     ]  --> [i64_load              , i64_store             ] | 0 0
Instructions (32      , 41      ) at Addr [32384     ]  --> [i64_load              , i64_atomic_rmw_xchg   ] | 0 0
Instructions (13      , 27      ) at Addr [33584     ]  --> [i64_load              , i64_store             ] | 0 0
Instructions (39      , 31      ) at Addr [32416     ]  --> [i64_store             , i64_store             ] | 0 0
Instructions (42      , 46      ) at Addr [32256     ]  --> [i64_load              , i64_atomic_rmw_cmpxchg] | 0 0
Instructions (30      , 31      ) at Addr [32416     ]  --> [i64_load              , i64_store             ] | 0 0
Instructions (45      , 56      ) at Addr [33744     ]  --> [i64_load              , i64_store             ] | 0 0
Instructions (58      , 58      ) at Addr [32520     ]  --> [i64_store             , i64_store             ] | 0 0
Instructions (29      , 29      ) at Addr [32392     ]  --> [i64_store             , i64_store             ] | 0 0
Instructions (31      , 31      ) at Addr [32416     ]  --> [i64_store             , i64_store             ] | 0 0
