Instructions (29      , 38      ) at Addr [32392     ]  --> [i64_store             , i64_store             ] | 0 0
Instructions (28      , 38      ) at Addr [32392     ]  --> [i64_load              , i64_store             ] | 0 0
Instructions (61      , 70      ) at Addr [32512     ]  --> [i64_load              , i64_atomic_rmw_xchg   ] | 0 0
Instructions (59      , 68      ) at Addr [32544     ]  --> [i64_load              , i64_store             ] | 0 0
Instructions (32      , 41      ) at Addr [32384     ]  --> [i64_load              , i64_atomic_rmw_xchg   ] | 0 0
Instructions (27      , 13      ) at Addr [32752     ]  --> [i64_store             , i64_load              ] | 0 0
Instructions (58      , 58      ) at Addr [32520     ]  --> [i64_store             , i64_store             ] | 0 0
Instructions (29      , 29      ) at Addr [32392     ]  --> [i64_store             , i64_store             ] | 0 0
Instructions (31      , 31      ) at Addr [32416     ]  --> [i64_store             , i64_store             ] | 0 0
Instructions (28      , 29      ) at Addr [32392     ]  --> [i64_load              , i64_store             ] | 0 0
Instructions (31      , 30      ) at Addr [32416     ]  --> [i64_store             , i64_load              ] | 0 0
